출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2021-04-28,전남,화순,835.0,10020000.0,3600,2000.0,604.9972775122512,16562.057999999997,1.3801714999999999
2021-05-03,전남,화순,9.0,86369.0,3600,2000.0,604.9972775122512,142.7593201,0.0148761
2021-05-03,전남,화순,20.0,198376.0,3600,2000.0,604.9972775122512,327.8956904,0.033058
2021-05-03,전남,화순,108.0,735134.0,3600,2000.0,604.9972775122512,1215.1029886,0.17851319999999998
2021-05-03,전남,화순,287.0,1318987.0,3600,2000.0,604.9972775122512,2180.1536123,0.4743823
2021-05-03,전남,화순,273.0,821357.0,3600,2000.0,604.9972775122512,1357.6209853,0.45124169999999997
2021-05-10,전남,화순,5.0,42989.0,3600,2000.0,604.9972775122512,71.05651809999999,0.0082645
2021-05-10,전남,화순,12.0,107278.0,3600,2000.0,604.9972775122512,177.3198062,0.0198348
2021-05-10,전남,화순,82.0,523188.0,3600,2000.0,604.9972775122512,864.7774452,0.13553779999999999
2021-05-10,전남,화순,287.0,1267202.0,3600,2000.0,604.9972775122512,2094.5581858,0.4743823
2021-05-10,전남,화순,369.0,1039891.0,3600,2000.0,604.9972775122512,1718.8358339,0.6099201
2021-05-17,전남,화순,6.0,36902.0,3600,2000.0,604.9972775122512,60.99531579999999,0.0099174
2021-05-17,전남,화순,51.0,252913.0,3600,2000.0,604.9972775122512,418.0398977,0.0842979
2021-05-17,전남,화순,163.0,513681.0,3600,2000.0,604.9972775122512,849.0633249,0.26942269999999996
2021-05-17,전남,화순,214.0,419425.0,3600,2000.0,604.9972775122512,693.2675825,0.3537206
2021-06-05,전남,화순,835.0,10020000.0,3600,2000.0,604.9972775122512,16562.057999999997,1.3801714999999999
2020-12-09,전남,장성,21.0,471000.0,1100,1000.0,302.4986387561256,1557.0318,0.06942179999999999
2020-12-09,전남,장성,15.0,321500.0,1100,1000.0,302.4986387561256,1062.8147,0.049587
2020-12-09,전남,장성,36.0,678000.0,1100,1000.0,302.4986387561256,2241.3324,0.1190088
2020-12-09,전남,장성,44.0,912000.0,1100,1000.0,302.4986387561256,3014.8896,0.14545519999999998
2020-12-09,전남,장성,33.0,649000.0,1100,1000.0,302.4986387561256,2145.4642,0.10909139999999999
2020-12-09,전남,장성,97.0,1611000.0,1100,1000.0,302.4986387561256,5325.6438,0.32066259999999996
2020-12-09,전남,장성,114.0,1737500.0,1100,1000.0,302.4986387561256,5743.827499999999,0.37686119999999995
2020-12-10,전남,장성,59.0,933500.0,1100,1000.0,302.4986387561256,3085.9642999999996,0.1950422
2020-12-11,전남,장성,55.0,767500.0,1100,1000.0,302.4986387561256,2537.2014999999997,0.18181899999999998
2020-12-12,전남,장성,180.0,2476900.0,1100,1000.0,302.4986387561256,8188.13602,0.595044
2020-12-14,전남,장성,69.0,956500.0,1100,1000.0,302.4986387561256,3161.9977,0.22810019999999998
2020-12-15,전남,장성,97.0,1096500.0,1100,1000.0,302.4986387561256,3624.8097,0.32066259999999996
2020-12-17,전남,장성,120.0,1468500.0,1100,1000.0,302.4986387561256,4854.5673,0.396696
2020-12-18,전남,장성,107.0,1205000.0,1100,1000.0,302.4986387561256,3983.4889999999996,0.3537206
2020-12-19,전남,장성,86.0,1073500.0,1100,1000.0,302.4986387561256,3548.7763,0.28429879999999996
2020-12-21,전남,장성,104.0,1264000.0,1100,1000.0,302.4986387561256,4178.531199999999,0.3438032
2020-12-22,전남,장성,88.0,1208000.0,1100,1000.0,302.4986387561256,3993.4064,0.29091039999999996
2020-12-24,전남,장성,61.0,1056500.0,1100,1000.0,302.4986387561256,3492.5777,0.2016538
2020-12-25,전남,장성,74.0,1275500.0,1100,1000.0,302.4986387561256,4216.5479,0.2446292
2020-12-26,전남,장성,85.0,1487500.0,1100,1000.0,302.4986387561256,4917.3775,0.280993
2020-12-28,전남,장성,67.0,674500.0,1100,1000.0,302.4986387561256,2229.7621,0.22148859999999998
2020-12-31,전남,장성,77.0,576500.0,1100,1000.0,302.4986387561256,1905.7937,0.2545466
2021-01-02,전남,장성,27.0,336500.0,1100,1000.0,302.4986387561256,1112.4017,0.08925659999999999
2021-01-04,전남,장성,34.0,367000.0,1100,1000.0,302.4986387561256,1213.2286,0.11239719999999999
2021-01-06,전남,장성,15.0,187000.0,1100,1000.0,302.4986387561256,618.1845999999999,0.049587
2021-01-11,전남,장성,30.0,236000.0,1100,1000.0,302.4986387561256,780.1687999999999,0.099174
2021-01-14,전남,장성,8.0,103000.0,1100,1000.0,302.4986387561256,340.49739999999997,0.0264464
2021-01-18,전남,장성,18.0,231000.0,1100,1000.0,302.4986387561256,763.6397999999999,0.0595044
2021-01-21,전남,장성,19.0,216000.0,1100,1000.0,302.4986387561256,714.0527999999999,0.0628102
2021-01-23,전남,장성,29.0,344500.0,1100,1000.0,302.4986387561256,1138.8481,0.0958682
2021-01-25,전남,장성,23.0,264000.0,1100,1000.0,302.4986387561256,872.7312,0.0760334
2021-01-27,전남,장성,27.0,299000.0,1100,1000.0,302.4986387561256,988.4341999999999,0.08925659999999999
2021-01-28,전남,장성,57.0,625500.0,1100,1000.0,302.4986387561256,2067.7779,0.18843059999999998
2021-01-29,전남,장성,39.0,471000.0,1100,1000.0,302.4986387561256,1557.0318,0.1289262
2021-01-30,전남,장성,43.0,497000.0,1100,1000.0,302.4986387561256,1642.9825999999998,0.14214939999999998
2021-02-01,전남,장성,49.0,565000.0,1100,1000.0,302.4986387561256,1867.7769999999998,0.1619842
2021-02-02,전남,장성,47.0,540000.0,1100,1000.0,302.4986387561256,1785.1319999999998,0.1553726
2021-02-04,전남,장성,65.0,865000.0,1100,1000.0,302.4986387561256,2859.517,0.21487699999999998
2021-02-05,전남,장성,108.0,1443000.0,1100,1000.0,302.4986387561256,4770.2694,0.35702639999999997
2021-02-06,전남,장성,104.0,1389000.0,1100,1000.0,302.4986387561256,4591.7562,0.3438032
2021-02-08,전남,장성,89.0,1337500.0,1100,1000.0,302.4986387561256,4421.5075,0.2942162
2021-02-09,전남,장성,93.0,1607500.0,1100,1000.0,302.4986387561256,5314.0734999999995,0.3074394
2021-02-10,전남,장성,68.0,927000.0,1100,1000.0,302.4986387561256,3064.4766,0.22479439999999998
2021-02-11,전남,장성,158.0,1982500.0,1100,1000.0,302.4986387561256,6553.7485,0.5223164
2021-02-15,전남,장성,176.0,1396500.0,1100,1000.0,302.4986387561256,4616.5497,0.5818207999999999
2021-02-16,전남,장성,88.0,591000.0,1100,1000.0,302.4986387561256,1953.7278,0.29091039999999996
2021-02-18,전남,장성,66.0,539500.0,1100,1000.0,302.4986387561256,1783.4790999999998,0.21818279999999998
2021-02-19,전남,장성,69.0,502000.0,1100,1000.0,302.4986387561256,1659.5115999999998,0.22810019999999998
2021-02-20,전남,장성,84.0,671000.0,1100,1000.0,302.4986387561256,2218.1918,0.27768719999999997
2021-02-22,전남,장성,104.0,651000.0,1100,1000.0,302.4986387561256,2152.0758,0.3438032
2021-02-23,전남,장성,55.0,405500.0,1100,1000.0,302.4986387561256,1340.5019,0.18181899999999998
2021-02-24,전남,장성,71.0,559000.0,1100,1000.0,302.4986387561256,1847.9422,0.2347118
2021-02-26,전남,장성,63.0,462000.0,1100,1000.0,302.4986387561256,1527.2795999999998,0.2082654
2021-02-27,전남,장성,60.0,573500.0,1100,1000.0,302.4986387561256,1895.8763,0.198348
2021-03-01,전남,장성,98.0,825000.0,1100,1000.0,302.4986387561256,2727.285,0.3239684
2021-03-04,전남,장성,82.0,818000.0,1100,1000.0,302.4986387561256,2704.1443999999997,0.27107559999999997
2021-03-06,전남,장성,85.0,728000.0,1100,1000.0,302.4986387561256,2406.6223999999997,0.280993
2021-03-08,전남,장성,103.0,831000.0,1100,1000.0,302.4986387561256,2747.1198,0.3404974
2021-03-10,전남,장성,51.0,349000.0,1100,1000.0,302.4986387561256,1153.7241999999999,0.1685958
2021-03-11,전남,장성,85.0,652500.0,1100,1000.0,302.4986387561256,2157.0344999999998,0.280993
2021-03-12,전남,장성,62.0,440000.0,1100,1000.0,302.4986387561256,1454.552,0.2049596
2021-03-13,전남,장성,128.0,1058000.0,1100,1000.0,302.4986387561256,3497.5364,0.4231424
2021-03-15,전남,장성,63.0,534500.0,1100,1000.0,302.4986387561256,1766.9500999999998,0.2082654
